Exporter Name,Address,State,pin,2015,2016,2017,2018,2019,2020,2021,2022,2023,Taluk,District
BLASTLINE  INDIA,"48/2510D4, 2nd Floor, Blastline Corporate Chamber,Pottakuzhi Elamakkakara (PO, Perandoor Rd, Mamangalam, Kaloor, Ernakulam, Kochi, Kerala 682026, India",Kerala,682026,41117,72252,102370,91046,85858,56970,97175,112473,148588,Ernakulam,Ernakulam
BLOOMS ENGINEERING,"682 F, Mundur, Thrissur, Kerala 680541, India",Kerala,680541,540,0,440,0,1090,851,6703,13211,8248,Thrissur,Thrissur
BLOSSOM APPARELS,"1058, Munusamy Salai, KK Nagar West, K. K. Nagar, Chennai, Tamil Nadu 600078, India",Tamil Nadu,600078,3443,6950,1440,0,2870,0,0,0,0,Chennai City Corporation,Chennai
BLUE BREEZE ENTERPRISE,"SIDCO, Tamil Nadu 641606, India",Tamil Nadu,641606,60344,115531,112526,190146,469786,198646,344713,256061,399210,Tiruppur,Coimbatore
BLUEMOUNTAIN EXPORTERS,"14/486, East, Pandikudy, Chullickal, Kochi, Kerala 682001, India",Kerala,682001,25219,22563,9274,14074,25750,20622,22977,0,0,Kochi,Ernakulam
BOS NATURAL FLAVORS P.LTD.,"Asian House” P.P Road, Pathipalam Allapra (P.O, Perumbavoor Puthencruz Rd, Perumbavoor, Kerala 683553, India",Kerala,683553,591786,568187,530518,504235,623143,794656,1079568,1061983,628243,Perumbavoor,Ernakulam
BOSE EXPORTS,"48FH+P3M, Asher Nagar 60 Feet Rd, Valayankadu South, Tiruppur, Tamil Nadu 641603, India",Tamil Nadu,641603,6157,20582,43819,15432,68644,45301,100581,338515,330521,Tiruppur,Coimbatore
BRIGHT ENGINEERING COMPANY,"lakshmi, Ganesh Nagar 3rd St, Lakshmi Nagar, Koundampalayam, Coimbatore, Tamil Nadu 641030, India",Tamil Nadu,641030,36980,16632,17058,2355,11648,6980,21141,38042,73586,Coimbatore North,Coimbatore
BRITE GARMENTS,"47/1, Periyar St, Erode, Tamil Nadu 638003, India",Tamil Nadu,638003,747,0,0,0,0,0,0,0,0,Erode,Erode
BROS INDIA GROUP,"J9C6+WCC, Kayippuram, Muhamma, Kerala 688525, India",Kerala,688525,269601,281284,162195,146602,113391,241360,348723,365227,325570,Cherthala,Alappuzha
BUSTHAN AL WATHANIYA,"P9V4+QVH, Pallipuram, Kerala 688541, India",Kerala,688541,1034734,1111428,1105461,818131,488107,507506,487014,527820,201081,Cherthala,Alappuzha
